movie_financial_summary_display_name,movie_financial_summary_domestic_box_office,movie_financial_summary_production_budget,movie_acting_role_display_name,movie_acting_role_billing,movie_acting_role_character_name,movie_technical_role_display_name,movie_genre_display_name,movie_source_display_name,movie_creative_type_display_name,movie_production_method_display_name,movie_sequel,movie_theatrical_release_release_date
10000 B.C.,94784201,105000000,Cliff Curtis,3,Tic-Tic,Roland Emmerich,Adventure,Original Screenplay,Historical Fiction,Live Action,0,2008-03-07
10000 B.C.,94784201,105000000,Steven Strait,1,D'Leh,Roland Emmerich,Adventure,Original Screenplay,Historical Fiction,Live Action,0,2008-03-07
10000 B.C.,94784201,105000000,Camilla Belle,2,Evolet,Roland Emmerich,Adventure,Original Screenplay,Historical Fiction,Live Action,0,2008-03-07
127 Hours,18335230,18000000,James Franco,1,Aron Ralston,Christian Colson,Drama,Based on Real Life Events,Dramatization,Live Action,0,2010-11-05
127 Hours,18335230,18000000,Amber Tamblyn,2,Megan,Christian Colson,Drama,Based on Real Life Events,Dramatization,Live Action,0,2010-11-05
127 Hours,18335230,18000000,Kate Mara,3,Kristi,Christian Colson,Drama,Based on Real Life Events,Dramatization,Live Action,0,2010-11-05
1408,71985628,22500000,John Cusack,1,Mike Enslin,Mikael Hafstrom,Horror,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,2007-06-22
1408,71985628,22500000,Mary McCormack,3,Lily ,Mikael Hafstrom,Horror,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,2007-06-22
1408,71985628,22500000,Samuel L. Jackson,2,Olin,Mikael Hafstrom,Horror,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,2007-06-22
16 to Life,11574,1000000,Hallee Hirsh,1,Kate,Becky Smith,Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2010-09-03
16 to Life,11574,1000000,Theresa Russell,2,Louise,Becky Smith,Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2010-09-03
16 to Life,11574,1000000,Mandy Musgrave,3,Darby,Becky Smith,Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2010-09-03
1941,34175000,32000000,John Belushi,2,Captain Wild Bill Kelso,Steven Spielberg,Comedy,Original Screenplay,Historical Fiction,Live Action,0,1979-12-14
1941,34175000,32000000,Ned Beatty,3,Ward Douglas,Steven Spielberg,Comedy,Original Screenplay,Historical Fiction,Live Action,0,1979-12-14
1941,34175000,32000000,Dan Aykroyd,1,Sergeant Frank Tree,Steven Spielberg,Comedy,Original Screenplay,Historical Fiction,Live Action,0,1979-12-14
2 Guns,75612460,61000000,Denzel Washington,2,Robert Trench,Baltasar Kormakur,Action,Based on Comic/Graphic Novel,Contemporary Fiction,Live Action,0,2013-08-02
2 Guns,75612460,61000000,Mark Wahlberg,1,Marcus Stigman,Baltasar Kormakur,Action,Based on Comic/Graphic Novel,Contemporary Fiction,Live Action,0,2013-08-02
2 Guns,75612460,61000000,Paula Patton,3,Deb,Baltasar Kormakur,Action,Based on Comic/Graphic Novel,Contemporary Fiction,Live Action,0,2013-08-02
2012,166112167,200000000,Amanda Peet,3,Kate Curtis,Aaron Boyd,Action,Original Screenplay,Science Fiction,Live Action,0,2009-11-13
2012,166112167,200000000,Chiwetel Ejiofor,2,Adrian Helmsley,Aaron Boyd,Action,Original Screenplay,Science Fiction,Live Action,0,2009-11-13
2012,166112167,200000000,John Cusack,1,Jackson Curtis,Aaron Boyd,Action,Original Screenplay,Science Fiction,Live Action,0,2009-11-13
21,81159365,35000000,Jim Sturgess,1,Ben Campbell,Robert Luketic,Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,2008-03-28
21,81159365,35000000,Kate Bosworth,2,Jill Taylor,Robert Luketic,Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,2008-03-28
21,81159365,35000000,Laurence Fishburne,3,Cole Williams,Robert Luketic,Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,2008-03-28
21 and Over,25682380,13000000,Skylar Astin,2,Casey,Jon Lucas,Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2013-03-01
21 and Over,25682380,13000000,Miles Teller,1,Miller,Jon Lucas,Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2013-03-01
21 and Over,25682380,13000000,Justin Chon,3,Jeff Chang,Jon Lucas,Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2013-03-01
30 Minutes or Less,37053924,28000000,Danny McBride,2,Dwayne,Ruben Fleischer,Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2011-08-12
30 Minutes or Less,37053924,28000000,Jesse Eisenberg,1,Nick,Ruben Fleischer,Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2011-08-12
30 Minutes or Less,37053924,28000000,Aziz Ansari,3,Chet,Ruben Fleischer,Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2011-08-12
300,210614939,60000000,Lena Headey,2,Queen Gorgo,Zack Snyder,Action,Based on Comic/Graphic Novel,Historical Fiction,Animation/Live Action,0,2007-03-09
300,210614939,60000000,Dominic West,3,Theron,Zack Snyder,Action,Based on Comic/Graphic Novel,Historical Fiction,Animation/Live Action,0,2007-03-09
300,210614939,60000000,Gerard Butler,1,King Leonidas,Zack Snyder,Action,Based on Comic/Graphic Novel,Historical Fiction,Animation/Live Action,0,2007-03-09
42,95020213,40000000,Nicole Beharie,3,Rachel Isum,Brian Helgeland,Drama,Based on Real Life Events,Dramatization,Live Action,0,2013-04-12
42,95020213,40000000,Harrison Ford,2,Branch Rickey,Brian Helgeland,Drama,Based on Real Life Events,Dramatization,Live Action,0,2013-04-12
42,95020213,40000000,Chadwick Boseman,1,Jackie Robinson,Brian Helgeland,Drama,Based on Real Life Events,Dramatization,Live Action,0,2013-04-12
5 Days of War,17479,12000000,Rupert Friend,1,Thomas Anders,Renny Harlin,Drama,Based on Real Life Events,Dramatization,Live Action,0,2011-08-19
5 Days of War,17479,12000000,Emmanuelle Chriqui,3,Tatia Meoevi,Renny Harlin,Drama,Based on Real Life Events,Dramatization,Live Action,0,2011-08-19
5 Days of War,17479,12000000,Richard Coyle,2,Sebastian,Renny Harlin,Drama,Based on Real Life Events,Dramatization,Live Action,0,2011-08-19
50 First Dates,120776832,75000000,Rob Schneider,3,Ula,Peter Segal,Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2004-02-13
50 First Dates,120776832,75000000,Drew Barrymore,2,Lucy Whitmore,Peter Segal,Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2004-02-13
50 First Dates,120776832,75000000,Adam Sandler,1,Henry Roth,Peter Segal,Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2004-02-13
50/50,35016118,8000000,Joseph Gordon-Levitt,1,Adam,Jonathan Levine,Black Comedy,Based on Real Life Events,Contemporary Fiction,Live Action,0,2011-09-30
50/50,35016118,8000000,Seth Rogen,2,Kyle,Jonathan Levine,Black Comedy,Based on Real Life Events,Contemporary Fiction,Live Action,0,2011-09-30
50/50,35016118,8000000,Anna Kendrick,3,Katie,Jonathan Levine,Black Comedy,Based on Real Life Events,Contemporary Fiction,Live Action,0,2011-09-30
A Beautiful Mind,170708996,78000000,Jennifer Connelly,3,Alicia Nash,Ron Howard,Drama,Based on Factual Book/Article,Dramatization,Live Action,0,2001-12-21
A Beautiful Mind,170708996,78000000,Ed Harris,2,William Parcher,Ron Howard,Drama,Based on Factual Book/Article,Dramatization,Live Action,0,2001-12-21
A Beautiful Mind,170708996,78000000,Russell Crowe,1,John Forbes Nash Jr.,Ron Howard,Drama,Based on Factual Book/Article,Dramatization,Live Action,0,2001-12-21
A Bug's Life,162798565,45000000,Julia Louis-Dreyfus,3,Princess Atta,Andrew Stanton,Adventure,Original Screenplay,Fantasy,Digital Animation,0,1998-11-20
A Bug's Life,162798565,45000000,Kevin Spacey,2,Hopper,Andrew Stanton,Adventure,Original Screenplay,Fantasy,Digital Animation,0,1998-11-20
A Bug's Life,162798565,45000000,Dave Foley,1,Flik,Andrew Stanton,Adventure,Original Screenplay,Fantasy,Digital Animation,0,1998-11-20
A Dangerous Method,5702083,20000000,Viggo Mortensen,2,Sigmund Freud,David Cronenberg,Drama,Based on Play,Dramatization,Live Action,0,2011-11-23
A Dangerous Method,5702083,20000000,Michael Fassbender ,3,Carl Jung,David Cronenberg,Drama,Based on Play,Dramatization,Live Action,0,2011-11-23
A Dangerous Method,5702083,20000000,Keira Knightley ,1,Sabina Spielrein,David Cronenberg,Drama,Based on Play,Dramatization,Live Action,0,2011-11-23
A Few Good Men,141340178,33000000,Jack Nicholson,2,Colonel Nathan R. Jessep,Rob Reiner,Drama,Based on Play,Contemporary Fiction,Live Action,0,1992-12-11
A Few Good Men,141340178,33000000,Demi Moore,3,Lt. Cmdr. JoAnne Galloway,Rob Reiner,Drama,Based on Play,Contemporary Fiction,Live Action,0,1992-12-11
A Few Good Men,141340178,33000000,Tom Cruise,1,Lt. Daniel Kaffee,Rob Reiner,Drama,Based on Play,Contemporary Fiction,Live Action,0,1992-12-11
A Good Day to Die Hard,67349198,92000000,Bruce Willis,1,John McClane,John Moore,Action,Original Screenplay,Contemporary Fiction,Live Action,1,2013-02-14
A Good Day to Die Hard,67349198,92000000,Jai Courtney,2,Jack McClane,John Moore,Action,Original Screenplay,Contemporary Fiction,Live Action,1,2013-02-14
A Good Day to Die Hard,67349198,92000000,Sebastian Koch,3,Komarov,John Moore,Action,Original Screenplay,Contemporary Fiction,Live Action,1,2013-02-14
A Nightmare on Elm Street,25504513,1800000,Ronee Blakley,2,Marge Thompson,Wes Craven,Horror,Original Screenplay,Fantasy,Live Action,0,1984-11-09
A Nightmare on Elm Street,25504513,1800000,Heather Langenkamp,3,Nancy Thompson,Wes Craven,Horror,Original Screenplay,Fantasy,Live Action,0,1984-11-09
A Nightmare on Elm Street,25504513,1800000,John Saxon,1,Lt. Thompson,Wes Craven,Horror,Original Screenplay,Fantasy,Live Action,0,1984-11-09
A Perfect Getaway,15515460,14000000,Timothy Olyphant,1,Nick,David Twohy,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,0,2009-08-07
A Perfect Getaway,15515460,14000000,Steve Zahn,3,Cliff,David Twohy,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,0,2009-08-07
A Perfect Getaway,15515460,14000000,Milla Jovovich,2,Cydney,David Twohy,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,0,2009-08-07
A Scanner Darkly,5501616,20000000,Keanu Reeves,1,Bob Arctor,Richard Linklater,Thriller/Suspense,Based on Fiction Book/Short Story,Science Fiction,Rotoscoping,0,2006-07-07
A Scanner Darkly,5501616,20000000,Robert Downey Jr.,2,Barris,Richard Linklater,Thriller/Suspense,Based on Fiction Book/Short Story,Science Fiction,Rotoscoping,0,2006-07-07
A Scanner Darkly,5501616,20000000,Woody Harrelson,3,Ernie Luckman,Richard Linklater,Thriller/Suspense,Based on Fiction Book/Short Story,Science Fiction,Rotoscoping,0,2006-07-07
A Serious Man,9228788,7000000,Michael Stuhlbarg,1,Larry Gopnik,Ethan Coen,Comedy,Original Screenplay,Historical Fiction,Live Action,0,2009-10-02
A Serious Man,9228788,7000000,Sari Lennick,2,Judith Gopnik,Ethan Coen,Comedy,Original Screenplay,Historical Fiction,Live Action,0,2009-10-02
A Serious Man,9228788,7000000,Richard Kind,3,Arthur Gopnik,Ethan Coen,Comedy,Original Screenplay,Historical Fiction,Live Action,0,2009-10-02
