movie_financial_summary_display_name,movie_financial_summary_domestic_box_office,movie_financial_summary_production_budget,movie_acting_role_display_name,movie_acting_role_billing,movie_acting_role_character_name,movie_technical_role_display_name,movie_genre_display_name,movie_source_display_name,movie_creative_type_display_name,movie_production_method_display_name,movie_sequel,movie_theatrical_release_release_date
Sinbad: Legend of the Seven Seas,26483452,60000000,Brad Pitt,1,Sinbad ,Tim Johnson,Adventure,Based on Folk Tale/Legend/Fairytale,Kids Fiction,Hand Animation,0,2003-07-02
Sinbad: Legend of the Seven Seas,26483452,60000000,Catherine Zeta-Jones,2,Marina,Tim Johnson,Adventure,Based on Folk Tale/Legend/Fairytale,Kids Fiction,Hand Animation,0,2003-07-02
Sinbad: Legend of the Seven Seas,26483452,60000000,Michelle Pfeiffer,3,Eris,Tim Johnson,Adventure,Based on Folk Tale/Legend/Fairytale,Kids Fiction,Hand Animation,0,2003-07-02
Sinister,48086903,3000000,Fred Dalton Thompson,3,Sheriff,Scott Derrickson,Thriller/Suspense,Original Screenplay,Fantasy,Live Action,0,2012-10-12
Sinister,48086903,3000000,Ethan Hawke,1,Ellison Oswalt,Scott Derrickson,Thriller/Suspense,Original Screenplay,Fantasy,Live Action,0,2012-10-12
Sinister,48086903,3000000,Juliet Rylance,2,Tracy,Scott Derrickson,Thriller/Suspense,Original Screenplay,Fantasy,Live Action,0,2012-10-12
Sky High,63939454,60000000,Kurt Russell,2,Commander Stronghold,Mike Mitchell,Adventure,Original Screenplay,Super Hero,Live Action,0,2005-07-29
Sky High,63939454,60000000,Kelly Preston,3,Josie Jetstream,Mike Mitchell,Adventure,Original Screenplay,Super Hero,Live Action,0,2005-07-29
Sky High,63939454,60000000,Michael Angarano,1,Will Stronghold,Mike Mitchell,Adventure,Original Screenplay,Super Hero,Live Action,0,2005-07-29
Skyfall,304360277,200000000,Daniel Craig,1,James Bond,Micheal G. Wilson,Action,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,1,2012-11-09
Skyfall,304360277,200000000,Javier Bardem,2,Silva,Micheal G. Wilson,Action,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,1,2012-11-09
Skyfall,304360277,200000000,Judi Dench,3,M,Micheal G. Wilson,Action,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,1,2012-11-09
Skyline,21416355,10000000,Eric Balfour ,1,Jarrord,Brothers Strause,Thriller/Suspense,Original Screenplay,Science Fiction,Live Action,0,2010-11-12
Skyline,21416355,10000000,Scottie Thompson ,2,Elaine,Brothers Strause,Thriller/Suspense,Original Screenplay,Science Fiction,Live Action,0,2010-11-12
Skyline,21416355,10000000,Brittney Daniel,3,Candice,Brothers Strause,Thriller/Suspense,Original Screenplay,Science Fiction,Live Action,0,2010-11-12
Sleepers,53300852,44000000,Robert De Niro,2,Father Bobby,Barry Levinson,Drama,Based on Fiction Book/Short Story,Dramatization,Live Action,0,1996-10-18
Sleepers,53300852,44000000,Kevin Bacon,1,Nokes,Barry Levinson,Drama,Based on Fiction Book/Short Story,Dramatization,Live Action,0,1996-10-18
Sleepers,53300852,44000000,Dustin Hoffman,3,Danny Snyder,Barry Levinson,Drama,Based on Fiction Book/Short Story,Dramatization,Live Action,0,1996-10-18
Sleepy Hollow,101068340,70000000,Christina Ricci,2,Katrina Van Tassel,Tim Burton,Horror,Based on Fiction Book/Short Story,Historical Fiction,Live Action,0,1999-11-19
Sleepy Hollow,101068340,70000000,Miranda Richardson,3,Lady Van Tassel,Tim Burton,Horror,Based on Fiction Book/Short Story,Historical Fiction,Live Action,0,1999-11-19
Sleepy Hollow,101068340,70000000,Johnny Depp,1,Ichabod Crane,Tim Burton,Horror,Based on Fiction Book/Short Story,Historical Fiction,Live Action,0,1999-11-19
Slumdog Millionaire,141319928,14000000,Dev Patel,1,Jamal Malik (older),Danny Boyle,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2008-11-12
Slumdog Millionaire,141319928,14000000,Freida Pinto,2,Latika (older),Danny Boyle,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2008-11-12
Slumdog Millionaire,141319928,14000000,Madhur Mittal,3,Salim Malik (older),Danny Boyle,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2008-11-12
Small Soldiers,55143823,40000000,Kirsten Dunst,1,Christy Fimple,Joe Dante,Comedy,Original Screenplay,Kids Fiction,Live Action,0,1998-07-10
Small Soldiers,55143823,40000000,Jay Mohr,3,Larry Benson,Joe Dante,Comedy,Original Screenplay,Kids Fiction,Live Action,0,1998-07-10
Small Soldiers,55143823,40000000,Gregory Smith,2,Alan Abernathy,Joe Dante,Comedy,Original Screenplay,Kids Fiction,Live Action,0,1998-07-10
Smilla's Sense of Snow,2221994,35000000,Gabriel Byrne,2,Mechanic,Bille August,Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,1997-02-28
Smilla's Sense of Snow,2221994,35000000,Richard Harris,3,Tork,Bille August,Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,1997-02-28
Smilla's Sense of Snow,2221994,35000000,Julia Ormond,1,Smilla ,Bille August,Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,1997-02-28
Snakes on a Plane,34020814,33000000,Nathan Phillips,3,Sean Jones,David R. Ellis,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,0,2006-08-18
Snakes on a Plane,34020814,33000000,Samuel L. Jackson,1,Neville Flynn,David R. Ellis,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,0,2006-08-18
Snakes on a Plane,34020814,33000000,Julianna Margulies,2,Claire Miller,David R. Ellis,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,0,2006-08-18
Snatch,30093107,10000000,Benicio Del Toro,1,Franky Four Fingers,Guy Ritchie,Black Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2000-12-08
Snatch,30093107,10000000,Dennis Farina,2,Cousin Avi,Guy Ritchie,Black Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2000-12-08
Snatch,30093107,10000000,Vinnie Jones,3,Bullet Tooth Tony,Guy Ritchie,Black Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2000-12-08
Snitch,42930462,15000000,Dwayne Johnson,1,John Matthews,Ric Roman Waugh,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,0,2013-02-22
Snitch,42930462,15000000,Jon Bernthal,3,Daniel James,Ric Roman Waugh,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,0,2013-02-22
Snitch,42930462,15000000,Barry Pepper,2,Agent Cooper,Ric Roman Waugh,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,0,2013-02-22
Snow Falling on Cedars,14378353,36000000,Ethan Hawke,1,Ishmael Chambers,James Newton Howard,Drama,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,1999-12-24
Snow Falling on Cedars,14378353,36000000,James Cromwell,2,Judge Fielding,James Newton Howard,Drama,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,1999-12-24
Snow Falling on Cedars,14378353,36000000,Richard Jenkins,3,Sheriff Art Moran,James Newton Howard,Drama,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,1999-12-24
Snow Flower and the Secret Fan,1348205,6000000,Gianna Jun,1,Snow Flower / Sophia,Wayne Wang,Drama,Based on Fiction Book/Short Story,Historical Fiction,Live Action,0,2011-07-15
Snow Flower and the Secret Fan,1348205,6000000,Li Bingbing,2,Lily / Nina,Wayne Wang,Drama,Based on Fiction Book/Short Story,Historical Fiction,Live Action,0,2011-07-15
Snow Flower and the Secret Fan,1348205,6000000,Vivian Wu,3,Aunt,Wayne Wang,Drama,Based on Fiction Book/Short Story,Historical Fiction,Live Action,0,2011-07-15
Snow White and the Huntsman,155136755,170000000,Kristen Stewart,1,Snow White,Rupert Sanders,Adventure,Based on Folk Tale/Legend/Fairytale,Fantasy,Live Action,0,2012-06-01
Snow White and the Huntsman,155136755,170000000,Charlize Theron,2,Evil Queen,Rupert Sanders,Adventure,Based on Folk Tale/Legend/Fairytale,Fantasy,Live Action,0,2012-06-01
Snow White and the Huntsman,155136755,170000000,Chris Hemsworth,3,Huntsman,Rupert Sanders,Adventure,Based on Folk Tale/Legend/Fairytale,Fantasy,Live Action,0,2012-06-01
